# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Jackson Lake at Dam on Snake River near Moran; WY,WY,43.8575325,-110.5897446,US/Mountain,00:00.0,13011000,ft,0,cma_google,,,reservoir,usgs/pnro,PN,jck,6789
Snake River below Flat Creek near Jackson; WY,WY,43.37207473,-110.7386719,US/Mountain,00:00.0,13018750,ft,0,Bill_KML,,,stream,usgs/pnro,PN,jksy,5950
Kettle Falls; Washington AgriMet Weather Station,WA,48.595,-118.12416,US/Pacific,4/17/2002,,m,0,agrimet_map,,,agrimet,pnro,PN,kflw,408.43
Kettle Butte; Idaho Weather Station,ID,43.54861111,-112.3258333,US/Mountain,10/15/1995,,m,0,agrimet_map,,,agrimet,noaa,PN,ktbi,1565
Lake Bryan - Rice Bar; Washington AgriMet Weather Station,WA,46.6975,-117.65416,US/Pacific,4/19/2002,,m,0,agrimet_map,,,agrimet,pnro,PN,lbrw,192.02
Legrow; Washington AgriMet Weather Station,WA,46.20527,-118.93611,US/Pacific,7/1/1986,,m,0,agrimet_map,,,agrimet,pnro,PN,legw,176.78
Liberty Lake; Washington Weather Station,WA,47.66533,-117.087208,US/Pacific,11/18/2014,,m,0,agrimet_map,,,agrimet,pnro,PN,libw,632
Lind; Washington AgriMet Weather Station,WA,46.86722,-118.73944,US/Pacific,5/1/1983,,m,0,agrimet_map,,,agrimet,pnro,PN,lidw,449.58
INL - Specific Manufacturing Capability; Idaho,ID,43.859767,-112.730267,US/Mountain,,,ft,0,,,,agrimet,noaa,PN,lofi,1571.52231
Snake River at Lorenzo; ID,ID,43.73536074,-111.8781013,US/Mountain,00:00.0,13038500,ft,0,Bill_KML,,,stream,usgs/pnro,PN,lori,4856
Little Wood River above High Five Creek; ID,ID,43.49306,-114.05723,US/Mountain,00:00.0,13147900,ft,0,Bill_KML,,,stream,usgs/pnro,PN,lwoi,5320
Malta; Idaho AgriMet Weather Station,ID,42.4375,-113.41388,US/Mountain,6/1/1983,,m,0,agrimet_map,,,agrimet,pnro,PN,mali,1344.17
Manson; Washington AgriMet Weather Station,WA,47.91694,-120.12444,US/Pacific,11/3/1993,,m,0,agrimet_map,,,agrimet,pnro,PN,masw,601.07
Moody Farms East Satellite; Oregon Weather Station,OR,44.87789,-121.07621,US/Pacific,9/10/2013 0:00,,ft,0,,,,agrimet,pnro,PN,mdeo,399
Medford; Oregon AgriMet Weather Station,OR,42.33111,-122.93777,US/Pacific,5/1/1989,,m,0,agrimet_map,,,agrimet,pnro,PN,mdfo,408.43
INL - Minidoka;  Idaho Weather Station,ID,42.804417,-113.58965,US/Mountain,,,m,0,agrimet_map,,,agrimet,noaa,PN,mdki,1306.068
Moody Farms North Satellite; Oregon Weather Station,OR,44.87365,-121.06748,US/Pacific,9/10/2013 0:00,,ft,0,,,,agrimet,pnro,PN,mdno,402
Moody Farms South Satellite; Oregon Weather Station,OR,44.86472,-121.06508,US/Pacific,9/10/2013 0:00,,ft,0,,,,agrimet,pnro,PN,mdso,426
Moody Farms West Satellite; Oregon Weather Station,OR,44.86941,-121.07948,US/Pacific,9/10/2013 0:00,,ft,0,,,,agrimet,pnro,PN,mdto,384
Moody Farms Control Station; Oregon Weather Station,OR,44.86912,-121.0683,US/Pacific,9/9/2013,,m,0,agrimet_map,,,agrimet,pnro,PN,mdxo,391
Milner Dam and Reservoir; Idaho,ID,42.52389407,-114.0376039,US/Mountain,00:00.0,,ft,0,cma_google,,,reservoir,pnro,PN,mil,4123
Minidoka Dam and Lake Walcott; ID,ID,42.67083,-113.48333,US/Mountain,00:00.0,,ft,0,cma_google,,,reservoir,pnro,PN,min,4200
Snake River near Minidoka; ID,ID,42.67289753,-113.5003366,US/Mountain,00:00.0,13081500,ft,0,Bill_KML,,,stream,usgs/pnro,PN,mini,4132
Monteview; Idaho Weather Station,ID,44.015,-112.5358333,US/Mountain,10/15/1995,,m,0,agrimet_map,,,agrimet,pnro,PN,mnti,1480
Madras; Oregon AgriMet Weather Station,OR,44.68,-121.14861,US/Pacific,5/1/1984,,m,0,agrimet_map,,,agrimet,pnro,PN,mrso,743.71
Middle Warm Springs; Oregon Weather Station,OR,44.85424,-121.1479,US/Pacific,9/12/2013,,m,0,agrimet_map,,,agrimet,pnro,PN,mwso,432
Nampa; Idaho AgriMet Weather Station,ID,43.43722,-116.64527,US/Mountain,3/11/1996,,m,0,agrimet_map,,,agrimet,pnro,PN,nmpi,823.57
Odessa; Washington AgriMet Weather Station,WA,47.30888,-118.87861,US/Pacific,4/1/1984,,m,0,agrimet_map,,,agrimet,pnro,PN,odsw,502.92
Omak; Washington AgriMet Weather Station,WA,48.4025,-119.57611,US/Pacific,1/1/1989,,m,0,agrimet_map,,,agrimet,pnro,PN,omaw,376.43
Ontario; Oregon AgriMet Weather Station,OR,43.97777,-117.01527,US/Mountain,4/30/1992,,m,0,agrimet_map,,,agrimet,pnro,PN,onto,688.85
Osgood; Idaho AgriMet Weather Station,ID,43.58884,-112.07568,US/Mountain,3/13/2014,,m,0,agrimet_map,,,agrimet,pnro,PN,osgi,1471
INL - Howe; Idaho Weather Station,ID,43.784117,-112.977317,US/Mountain,,,m,0,agrimet_map,,,agrimet,noaa,PN,owei,1467.612
Palisades Reservoir near Irwin; ID,ID,43.3381653,-111.2063599,US/Mountain,00:00.0,,ft,0,cma_google,,,reservoir,pnro,PN,pal,5353
Snake River near Irwin; ID,ID,43.35089974,-111.2188817,US/Mountain,00:00.0,13032500,ft,0,Bill_KML,,,stream,usgs/pnro,PN,pali,5353
Parkdale; Oregon AgriMet Weather Station,OR,45.54444,-121.61666,US/Pacific,11/1/1988,,m,0,agrimet_map,,,agrimet,pnro,PN,paro,451.1
Prairie City; Oregon AgriMet Weather Station,OR,44.44083,-118.62777,US/Pacific,4/1/1989,,m,0,agrimet_map,,,agrimet,pnro,PN,pcyo,1143.61
Picabo; Idaho AgriMet Weather Station,ID,43.31166,-114.16583,US/Mountain,5/1/1982,,m,0,agrimet_map,,,agrimet,pnro,PN,pici,1493.52
Parma; Idaho AgriMet Weather Station,ID,43.8,-116.93333,US/Mountain,3/1/1986,,m,0,agrimet_map,,,agrimet,pnro,PN,pmai,702.56
Pine Grove; Oregon AgriMet Weather Station,OR,45.65222,-121.50916,US/Pacific,11/1/1988,,m,0,agrimet_map,,,agrimet,pnro,PN,pngo,188.98
Powell Butte; Oregon AgriMet Weather Station,OR,44.24833,-120.94972,US/Pacific,9/21/1993,,m,0,agrimet_map,,,agrimet,pnro,PN,pobo,975.36
Post Falls; Idaho Weather Station,ID,47.713664,-116.970096,US/Pacific,11/18/2014,,m,0,agrimet_map,,,agrimet,pnro,PN,psfi,665
Round Butte; Montana AgriMet Weather Station,MT,47.53944,-114.28055,US/Mountain,3/1/1989,,m,0,agrimet_map,,,agrimet,pnro,PN,rdbm,926.59
Henrys Fork near Rexburg; ID,ID,43.82587015,-111.9050308,US/Mountain,00:00.0,13056500,ft,0,Bill_KML,,,stream,usgs/pnro,PN,rexi,4806
Rigby; Idaho AgriMet Weather Station,ID,43.6772,-111.87922,US/Mountain,3/13/2014,,m,0,agrimet_map,,,agrimet,pnro,PN,rgbi,1488
Ririe Dam and Lake near Ririe; ID,ID,43.5821394,-111.7428411,US/Mountain,00:00.0,,ft,0,cma_google,,,reservoir,pnro,PN,rir,5119
Willow Creek below Ririe Dam (comp from RIR),ID,43.5821394,-111.7428411,US/Mountain,,0,ft,0,,,,stream,pnro,PN,riri,5119
INL - Roberts;  Idaho Weather Station,ID,43.743517,-112.121117,US/Mountain,,,m,0,agrimet_map,,,agrimet,noaa,PN,robi,1450.848
Rupert; Idaho AgriMet Weather Station,ID,42.59555,-113.87388,US/Mountain,3/1/1988,,m,0,agrimet_map,,,agrimet,pnro,PN,rpti,1266.44
INL - Arco;  Idaho Weather Station,ID,43.62455,-113.2971,US/Mountain,,,m,0,agrimet_map,,,agrimet,noaa,PN,rrci,1627.3272
Ririe; Idaho AgriMet Weather Station,ID,43.610345,-111.700605,US/Mountain,3/13/2014,,m,0,agrimet_map,,,agrimet,pnro,PN,rrii,1547
Rathdrum Prairie; Idaho AgriMet Weather Station,ID,47.8,-116.83333,US/Pacific,4/9/2008,,m,0,agrimet_map,,,agrimet,pnro,PN,rthi,673.61
Rexburg; Idaho AgriMet Weather Station,ID,43.85,-111.76666,US/Mountain,6/1/1987,,m,0,agrimet_map,,,agrimet,pnro,PN,rxgi,1485.9
Salt River above Reservoir near Etna; WY,WY,43.07963521,-111.0373464,US/Mountain,00:00.0,13027500,ft,0,Bill_KML,,,stream,usgs/pnro,PN,saly,5676
Seven Bays Marina; Washington AgriMet Weather Station,WA,47.85527,-118.34111,US/Pacific,4/16/2002,,m,0,agrimet_map,,,agrimet,pnro,PN,sbmw,417.58
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,OR,45.471600000000080,-123.200199990000000,Pacific UTC-8:00,,WGS84,NAVD88,0,,-8,,reservoir,pnro,PN,sco,200.000000000000000
Shelley; Idaho Weather Station,ID,43.43452,-112.14273,US/Mountain,3/13/2014,,m,0,agrimet_map,,,agrimet,pnro,PN,shli,1417
Snake River near Shelley; ID,ID,43.41305556,-112.135,US/Mountain,00:00.0,13060000,ft,0,Bill_KML,,,stream,usgs/pnro,PN,shyi,4599
Snake River near Idaho Falls; ID,ID,43.604722,-112.058611,US/Mountain,00:00.0,13057155,ft,0,,,,stream,usgs,PN,sifi,4740
Saint Ignatius; Montana AgriMet Weather Station,MT,47.32527,-114.08416,US/Mountain,4/1/1991,,m,0,agrimet_map,,,agrimet,pnro,PN,sigm,908.3
Silcott Island; Washington AgriMet Weather Station,WA,46.41861,-117.18472,US/Pacific,4/19/2002,,m,0,agrimet_map,,,agrimet,pnro,PN,silw,251.46
Silverwood WWTP Athol; Idaho Weather Station,ID,47.901142,-116.71243,US/Pacific,6/26/2014,,m,0,agrimet_map,,,agrimet,pnro,PN,slwi,712.3176
Snake River at Blackfoot; ID,ID,43.19730611,-112.3693021,US/Mountain,00:00.0,13062500,ft,0,Bill_KML,,,stream,usgs/pnro,PN,snai,4490
Spirit Lake; Washington Weather Station,ID,47.987552,-116.884978,US/Pacific,11/19/2014,,m,0,agrimet_map,,,agrimet,pnro,PN,spli,756
INL - Sugar City;  Idaho Weather Station,ID,43.896583,-111.737617,US/Mountain,,,m,0,agrimet_map,,,agrimet,noaa,PN,sugi,1491.996
INL - Taber;  Idaho Weather Station,ID,43.318683,-112.6918,US/Mountain,,,m,0,agrimet_map,,,agrimet,noaa,PN,tabi,1441.704
Teton River near St. Anthony; ID,ID,43.92704859,-111.613803,US/Mountain,00:00.0,13055000,ft,0,Bill_KML,,,stream,usgs/pnro,PN,teai,4972
INL - Terreton;  Idaho Weather Station,ID,43.841683,-112.41825,US/Mountain,,,m,0,agrimet_map,,,agrimet,noaa,PN,teri,1460.6016
Twin Falls Fairgrounds; Filer Idaho,ID,42.568782,-114.601548,US/Mountain,8/21/2013,,m,0,agrimet_map,,,agrimet,pnro,PN,tfgi,1147
Terraton; Idaho AgriMet Weather Station,ID,43.8704,-112.26394,US/Mountain,3/13/2014,,m,0,agrimet_map,,,agrimet,pnro,PN,trti,1478
Twin Falls (Kimberly) Idaho AgriMet Weather Station  7E,ID,42.54611,-114.34527,US/Mountain,3/1/1990,,m,0,agrimet_map,,,agrimet,pnro,PN,twfi,1194.82
Little Wood Dam and Reservoir near Carey; ID,ID,43.42528,-114.02723,US/Mountain,00:00.0,,ft,0,cma_google,,,reservoir,pnro,PN,wod,5100
Little Wood River near Carey; ID,ID,43.38995741,-113.9996779,US/Mountain,00:00.0,13148500,ft,0,Bill_KML,,,stream,usgs/pnro,PN,wodi,4991
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-24 00:00:00,15026.4,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-23 00:00:00,14940.6,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-22 00:00:00,14901.3,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-21 00:00:00,14878,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-20 00:00:00,14838.8,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-19 00:00:00,14807.9,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-18 00:00:00,14768.6,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-17 00:00:00,14729.7,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-16 00:00:00,14690.4,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-15 00:00:00,14651.5,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-14 00:00:00,14597,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-13 00:00:00,14542.1,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-12 00:00:00,14495.2,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-11 00:00:00,14440.6,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-10 00:00:00,14386.5,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-09 00:00:00,14347.5,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-08 00:00:00,14301,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-07 00:00:00,14262.5,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-06 00:00:00,14216,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-05 00:00:00,14177.5,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-04 00:00:00,14123,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-03 00:00:00,14069,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-02 00:00:00,13984,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Storage,2019-02-01 00:00:00,13937.5,Acre feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-24 00:00:00,4218.77,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-23 00:00:00,4218.66,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-22 00:00:00,4218.61,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-21 00:00:00,4218.58,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-20 00:00:00,4218.53,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-19 00:00:00,4218.49,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-18 00:00:00,4218.44,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-17 00:00:00,4218.39,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-16 00:00:00,4218.34,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-15 00:00:00,4218.29,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-14 00:00:00,4218.22,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-13 00:00:00,4218.15,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-12 00:00:00,4218.09,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-11 00:00:00,4218.02,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-10 00:00:00,4217.95,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-09 00:00:00,4217.9,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-08 00:00:00,4217.84,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-07 00:00:00,4217.79,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-06 00:00:00,4217.73,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-05 00:00:00,4217.68,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-04 00:00:00,4217.61,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-03 00:00:00,4217.54,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-02 00:00:00,4217.43,Feet
LAKE COMO RESERVOIR,cmo,Reservoir Elevation,2019-02-01 00:00:00,4217.37,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-24 00:00:00,2736660,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-23 00:00:00,2741140,Acre feet
