# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-19 00:00:00,6300.86,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-18 00:00:00,6300.87,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-17 00:00:00,6300.89,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-16 00:00:00,6300.92,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-15 00:00:00,6300.98,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-14 00:00:00,6300.98,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-13 00:00:00,6300.97,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-12 00:00:00,6300.94,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-11 00:00:00,6300.95,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-10 00:00:00,6300.97,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-09 00:00:00,6300.95,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-08 00:00:00,6300.95,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-07 00:00:00,6300.96,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-06 00:00:00,6300.98,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-05 00:00:00,6301.04,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-04 00:00:00,6301.05,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-03 00:00:00,6301.04,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-02 00:00:00,6300.99,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-01 00:00:00,6300.96,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-24 00:00:00,667535,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-23 00:00:00,666080,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-22 00:00:00,665832,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-21 00:00:00,665832,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-20 00:00:00,665832,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-19 00:00:00,665832,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-18 00:00:00,665595,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-17 00:00:00,665595,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-16 00:00:00,665595,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-15 00:00:00,665110,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-14 00:00:00,664377,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-13 00:00:00,663171,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-12 00:00:00,661231,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-11 00:00:00,660995,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-10 00:00:00,660747,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-09 00:00:00,660262,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-08 00:00:00,660025,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-07 00:00:00,660262,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-06 00:00:00,660262,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-05 00:00:00,660262,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-04 00:00:00,659540,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-03 00:00:00,658086,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-02 00:00:00,657352,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Storage,2019-02-01 00:00:00,657116,Acre feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-24 00:00:00,6761.79,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-23 00:00:00,6761.73,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-22 00:00:00,6761.72,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-21 00:00:00,6761.72,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-20 00:00:00,6761.72,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-19 00:00:00,6761.72,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-18 00:00:00,6761.71,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-17 00:00:00,6761.71,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-16 00:00:00,6761.71,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-15 00:00:00,6761.69,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-14 00:00:00,6761.66,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-13 00:00:00,6761.61,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-12 00:00:00,6761.53,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-11 00:00:00,6761.52,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-10 00:00:00,6761.51,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-09 00:00:00,6761.49,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-08 00:00:00,6761.48,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-07 00:00:00,6761.49,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-06 00:00:00,6761.49,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-05 00:00:00,6761.49,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-04 00:00:00,6761.46,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-03 00:00:00,6761.4,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-02 00:00:00,6761.37,Feet
Jackson Lake at Dam on Snake River near Moran; WY,jck,Reservoir Elevation,2019-02-01 00:00:00,6761.36,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-24 00:00:00,29665.2,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-23 00:00:00,28634.5,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-22 00:00:00,27460.7,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-21 00:00:00,26122.1,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-20 00:00:00,24507.2,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-19 00:00:00,23703.7,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-18 00:00:00,22503.5,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-17 00:00:00,22496,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-16 00:00:00,22347.4,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-15 00:00:00,22094.5,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-14 00:00:00,21449.5,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-13 00:00:00,21287.3,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-12 00:00:00,21085.4,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-11 00:00:00,20948.3,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-10 00:00:00,20869.1,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-09 00:00:00,20721.1,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-08 00:00:00,20584,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-07 00:00:00,20378.7,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-06 00:00:00,20154.7,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-05 00:00:00,20346.2,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-04 00:00:00,20400.2,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-03 00:00:00,20254.3,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-02 00:00:00,20168.4,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Storage,2019-02-01 00:00:00,20137.7,Acre feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-24 00:00:00,9.33,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-23 00:00:00,8.98,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-22 00:00:00,8.57,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-21 00:00:00,8.07,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-20 00:00:00,7.46,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-19 00:00:00,7.18,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-18 00:00:00,7.18,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-17 00:00:00,7.19,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-16 00:00:00,7.13,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-15 00:00:00,7.01,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-14 00:00:00,6.86,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-13 00:00:00,6.8,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-12 00:00:00,6.72,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-11 00:00:00,6.67,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-10 00:00:00,6.63,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-09 00:00:00,6.58,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-08 00:00:00,6.53,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-07 00:00:00,6.44,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-06 00:00:00,6.31,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-05 00:00:00,6.43,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-04 00:00:00,6.46,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-03 00:00:00,6.34,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-02 00:00:00,6.3,Feet
Milner Dam and Reservoir; Idaho,mil,Reservoir Elevation,2019-02-01 00:00:00,6.28,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-24 00:00:00,87258,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-23 00:00:00,86910,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-22 00:00:00,86558,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-21 00:00:00,86558,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-20 00:00:00,87258,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-19 00:00:00,86558,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-18 00:00:00,87258,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-17 00:00:00,87258,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-16 00:00:00,87258,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-15 00:00:00,87258,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-14 00:00:00,87728,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-13 00:00:00,86558,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-12 00:00:00,86214,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-11 00:00:00,86214,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-10 00:00:00,86214,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-09 00:00:00,85749,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-08 00:00:00,85749,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-07 00:00:00,86214,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-06 00:00:00,86214,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-05 00:00:00,85749,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-04 00:00:00,85749,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-03 00:00:00,85393,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-02 00:00:00,84578,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Storage,2019-02-01 00:00:00,84578,Acre feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-24 00:00:00,4244.32,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-23 00:00:00,4244.29,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-22 00:00:00,4244.26,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-21 00:00:00,4244.26,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-20 00:00:00,4244.32,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-19 00:00:00,4244.26,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-18 00:00:00,4244.32,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-17 00:00:00,4244.32,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-16 00:00:00,4244.32,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-15 00:00:00,4244.32,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-14 00:00:00,4244.36,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-13 00:00:00,4244.26,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-12 00:00:00,4244.23,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-11 00:00:00,4244.23,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-10 00:00:00,4244.23,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-09 00:00:00,4244.19,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-08 00:00:00,4244.19,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-07 00:00:00,4244.23,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-06 00:00:00,4244.23,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-05 00:00:00,4244.19,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-04 00:00:00,4244.19,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-03 00:00:00,4244.16,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-02 00:00:00,4244.09,Feet
Minidoka Dam and Lake Walcott; ID,min,Reservoir Elevation,2019-02-01 00:00:00,4244.09,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-24 00:00:00,1000210,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-23 00:00:00,996983,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-22 00:00:00,994209,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-21 00:00:00,991591,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-20 00:00:00,988833,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-19 00:00:00,986223,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-18 00:00:00,983190,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-17 00:00:00,980454,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-16 00:00:00,977579,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-15 00:00:00,974434,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-14 00:00:00,970581,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-13 00:00:00,966660,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-12 00:00:00,963021,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-11 00:00:00,960117,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-10 00:00:00,957080,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-09 00:00:00,953766,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-08 00:00:00,951176,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-07 00:00:00,948888,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-06 00:00:00,946026,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-05 00:00:00,942611,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-04 00:00:00,938917,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-03 00:00:00,934397,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-02 00:00:00,930736,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Storage,2019-02-01 00:00:00,927656,Acre feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-24 00:00:00,5607.11,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-23 00:00:00,5606.89,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-22 00:00:00,5606.7,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-21 00:00:00,5606.52,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-20 00:00:00,5606.33,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-19 00:00:00,5606.15,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-18 00:00:00,5605.94,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-17 00:00:00,5605.75,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-16 00:00:00,5605.55,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-15 00:00:00,5605.33,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-14 00:00:00,5605.06,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-13 00:00:00,5604.79,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-12 00:00:00,5604.54,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-11 00:00:00,5604.34,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-10 00:00:00,5604.13,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-09 00:00:00,5603.9,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-08 00:00:00,5603.72,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-07 00:00:00,5603.56,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-06 00:00:00,5603.36,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-05 00:00:00,5603.12,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-04 00:00:00,5602.86,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-03 00:00:00,5602.54,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-02 00:00:00,5602.28,Feet
Palisades Reservoir near Irwin; ID,pal,Reservoir Elevation,2019-02-01 00:00:00,5602.06,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-24 00:00:00,49629,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-23 00:00:00,49570,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-22 00:00:00,49476,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-21 00:00:00,49417,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-20 00:00:00,49347,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-19 00:00:00,49218,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-18 00:00:00,49113,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-17 00:00:00,49055,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-16 00:00:00,48949,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-15 00:00:00,48856,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-14 00:00:00,48764,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-13 00:00:00,48625,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-12 00:00:00,48567,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-11 00:00:00,48486,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-10 00:00:00,48440,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-09 00:00:00,48336,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-08 00:00:00,48244,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-07 00:00:00,48210,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-06 00:00:00,48118,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-05 00:00:00,48050,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-04 00:00:00,47958,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-03 00:00:00,47799,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-02 00:00:00,47674,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Storage,2019-02-01 00:00:00,47595,Acre feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-24 00:00:00,5090.11,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-23 00:00:00,5090.06,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-22 00:00:00,5089.98,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-21 00:00:00,5089.93,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-20 00:00:00,5089.87,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-19 00:00:00,5089.76,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-18 00:00:00,5089.67,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-17 00:00:00,5089.62,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-16 00:00:00,5089.53,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-15 00:00:00,5089.45,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-14 00:00:00,5089.37,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-13 00:00:00,5089.25,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-12 00:00:00,5089.2,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-11 00:00:00,5089.13,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-10 00:00:00,5089.09,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-09 00:00:00,5089,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-08 00:00:00,5088.92,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-07 00:00:00,5088.89,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-06 00:00:00,5088.81,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-05 00:00:00,5088.75,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-04 00:00:00,5088.67,Feet
